house_id,neighborhood_id,lat,long,sqft,beds,baths,date,price,is_undervalued
H0000,6,40.68615918283411,-73.82006321044273,2565.1140969485186,6,5,2025-04-16 22:17:28.377552,469557.99623351806,False
H0000,6,40.68615918283411,-73.82006321044273,2565.1140969485186,6,5,2025-06-07 22:17:28.377552,489541.23121343955,False
H0000,6,40.68615918283411,-73.82006321044273,2565.1140969485186,6,5,2025-11-08 22:17:28.377552,500663.0024690119,False
H0001,1,40.55231660274833,-74.13783568196727,2545.9961321788355,5,4,2025-04-15 22:17:28.377604,434553.47341019864,False
H0001,1,40.55231660274833,-74.13783568196727,2545.9961321788355,5,4,2025-09-26 22:17:28.377604,458546.276465705,False
H0001,1,40.55231660274833,-74.13783568196727,2545.9961321788355,5,4,2025-11-28 22:17:28.377604,458523.46153310325,False
H0002,0,40.64706303843648,-73.71882161884793,1978.231598763251,2,1,2025-04-03 22:17:28.377632,506171.6240651779,False
H0002,0,40.64706303843648,-73.71882161884793,1978.231598763251,2,1,2025-10-10 22:17:28.377632,525773.1786623287,False
H0002,0,40.64706303843648,-73.71882161884793,1978.231598763251,2,1,2025-11-09 22:17:28.377632,520711.7784675718,False
H0002,0,40.64706303843648,-73.71882161884793,1978.231598763251,2,1,2025-12-07 22:17:28.377632,516310.2475457267,False
H0003,6,40.66668644081737,-73.80103248987125,2443.8742297966787,5,4,2025-06-02 22:17:28.377658,480655.81298099016,False
H0003,6,40.66668644081737,-73.80103248987125,2443.8742297966787,5,4,2025-07-02 22:17:28.377658,474210.49676693085,False
H0003,6,40.66668644081737,-73.80103248987125,2443.8742297966787,5,4,2025-10-06 22:17:28.377658,483600.00526341645,False
H0003,6,40.66668644081737,-73.80103248987125,2443.8742297966787,5,4,2025-11-05 22:17:28.377658,482177.0596235352,False
H0004,9,40.61885543416469,-74.15650810753355,2043.5235341190855,3,2,2025-03-06 22:17:28.377682,547406.2593422133,False
H0004,9,40.61885543416469,-74.15650810753355,2043.5235341190855,3,2,2025-03-22 22:17:28.377682,551147.7001061916,False
H0004,9,40.61885543416469,-74.15650810753355,2043.5235341190855,3,2,2025-03-29 22:17:28.377682,555936.547585848,False
H0004,9,40.61885543416469,-74.15650810753355,2043.5235341190855,3,2,2025-07-31 22:17:28.377682,563074.0065549774,False
H0005,8,40.539739258529615,-73.72380169843377,1252.473064592832,1,1,2025-06-22 22:17:28.377706,397903.0324334088,False
H0005,8,40.539739258529615,-73.72380169843377,1252.473064592832,1,1,2025-08-30 22:17:28.377706,405551.8706038282,False
H0005,8,40.539739258529615,-73.72380169843377,1252.473064592832,1,1,2025-10-04 22:17:28.377706,395318.9787927739,False
H0005,8,40.539739258529615,-73.72380169843377,1252.473064592832,1,1,2025-10-10 22:17:28.377706,404044.0105784658,False
H0005,8,40.539739258529615,-73.72380169843377,1252.473064592832,1,1,2025-12-01 22:17:28.377706,407702.6715775089,False
H0006,4,40.630845740403075,-73.95853778088076,1451.8671023593224,3,2,2025-04-14 22:17:28.377733,313570.4069547059,False
H0006,4,40.630845740403075,-73.95853778088076,1451.8671023593224,3,2,2025-11-16 22:17:28.377733,321655.9482428129,False
H0006,4,40.630845740403075,-73.95853778088076,1451.8671023593224,3,2,2025-12-13 22:17:28.377733,322765.6984440221,False
H0007,0,40.64789243789113,-73.72162737337172,2631.8702653831933,6,5,2025-04-15 22:17:28.377758,712468.179199125,False
H0007,0,40.64789243789113,-73.72162737337172,2631.8702653831933,6,5,2025-08-12 22:17:28.377758,709562.27793508,False
H0007,0,40.64789243789113,-73.72162737337172,2631.8702653831933,6,5,2025-09-27 22:17:28.377758,728928.7302182548,False
H0008,7,40.727871952996864,-74.1855812018253,2395.5159735215234,3,2,2025-06-25 22:17:28.377835,604885.6153008243,False
H0008,7,40.727871952996864,-74.1855812018253,2395.5159735215234,3,2,2025-09-10 22:17:28.377835,615614.3619930303,False
H0009,2,40.735084403695495,-73.83499842253703,2038.4474742922857,5,3,2025-04-01 22:17:28.377860,347455.2630358818,False
H0009,2,40.735084403695495,-73.83499842253703,2038.4474742922857,5,3,2025-06-29 22:17:28.377860,354166.51951809495,False
H0009,2,40.735084403695495,-73.83499842253703,2038.4474742922857,5,3,2025-12-26 22:17:28.377860,373113.44267293165,False
H0009,2,40.735084403695495,-73.83499842253703,2038.4474742922857,5,3,2026-01-25 22:17:28.377860,368289.49613460054,False
H0010,9,40.60953686450501,-74.15053569699948,2406.758608684835,4,3,2025-03-02 22:17:28.377886,626146.535458331,False
H0010,9,40.60953686450501,-74.15053569699948,2406.758608684835,4,3,2025-05-31 22:17:28.377886,636969.4837473667,False
H0010,9,40.60953686450501,-74.15053569699948,2406.758608684835,4,3,2025-07-18 22:17:28.377886,631163.870946593,False
H0010,9,40.60953686450501,-74.15053569699948,2406.758608684835,4,3,2025-10-12 22:17:28.377886,653537.720894365,False
